candidate,source_class,n_errors_7class,n_healed,n_surviving,heal_rate
M1,angry,227,120,107,0.5286343612334802
M1,disgust,28,20,8,0.7142857142857143
M1,fear,254,142,112,0.5590551181102362
M1,happy,140,0,140,0.0
M1,neutral,248,14,234,0.056451612903225805
M1,sad,323,160,163,0.4953560371517028
M1,surprise,101,21,80,0.2079207920792079
M1,ALL,1321,477,844,0.36109008327024983
M2,angry,227,134,93,0.5903083700440529
M2,disgust,28,21,7,0.75
M2,fear,254,177,77,0.6968503937007874
M2,happy,140,0,140,0.0
M2,neutral,248,0,248,0.0
M2,sad,323,172,151,0.5325077399380805
M2,surprise,101,63,38,0.6237623762376238
M2,ALL,1321,567,754,0.429220287660863
M3,angry,227,117,110,0.5154185022026432
M3,disgust,28,4,24,0.14285714285714285
M3,fear,254,138,116,0.5433070866141733
M3,happy,140,0,140,0.0
M3,neutral,248,16,232,0.06451612903225806
M3,sad,323,159,164,0.49226006191950467
M3,surprise,101,21,80,0.2079207920792079
M3,ALL,1321,455,866,0.3444360333080999
M4,angry,227,120,107,0.5286343612334802
M4,disgust,28,20,8,0.7142857142857143
M4,fear,254,142,112,0.5590551181102362
M4,happy,140,11,129,0.07857142857142857
M4,neutral,248,0,248,0.0
M4,sad,323,160,163,0.4953560371517028
M4,surprise,101,17,84,0.16831683168316833
M4,ALL,1321,470,851,0.3557910673732021
