group_id,method,file_path,split_group,class
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_10131352.jpg,TRAIN,angry
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_28756096.jpg,TRAIN,angry
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_32571770.jpg,TRAIN,angry
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_52563817.jpg,TRAIN,angry
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_78540321.jpg,TRAIN,angry
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_96772745.jpg,TRAIN,angry
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_99531165.jpg,TRAIN,angry
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\happy\Training_87607167.jpg,TRAIN,happy
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\neutral\Training_89335926.jpg,TRAIN,neutral
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\sad\Training_48621797.jpg,TRAIN,sad
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\surprise\Training_48403842.jpg,TRAIN,surprise
md5_0,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PublicTest_5543497.jpg,VAL,angry
md5_1,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_10334355.jpg,TRAIN,angry
md5_1,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_95310035.jpg,TRAIN,angry
md5_2,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_10857340.jpg,TRAIN,angry
md5_2,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\sad\Training_33162240.jpg,TRAIN,sad
md5_3,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_11036720.jpg,TRAIN,angry
md5_3,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\sad\Training_4450363.jpg,TRAIN,sad
md5_3,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\sad\PublicTest_86086159.jpg,VAL,sad
md5_4,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_11478843.jpg,TRAIN,angry
md5_4,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_36215331.jpg,TRAIN,angry
md5_5,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_11749309.jpg,TRAIN,angry
md5_5,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_48679836.jpg,TRAIN,angry
md5_5,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_99489833.jpg,TRAIN,angry
md5_6,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_11769417.jpg,TRAIN,angry
md5_6,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_40771838.jpg,TRAIN,angry
md5_7,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_11860503.jpg,TRAIN,angry
md5_7,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_12775696.jpg,TRAIN,angry
md5_8,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_13081843.jpg,TRAIN,angry
md5_8,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_30337890.jpg,TRAIN,angry
md5_8,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_39536203.jpg,TRAIN,angry
md5_8,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_44516923.jpg,TRAIN,angry
md5_8,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_91536579.jpg,TRAIN,angry
md5_8,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_96244299.jpg,TRAIN,angry
md5_8,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_50479717.jpg,TEST,angry
md5_9,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_13677471.jpg,TRAIN,angry
md5_9,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_36806417.jpg,TRAIN,angry
md5_9,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_4530522.jpg,TRAIN,angry
md5_9,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_85027639.jpg,TRAIN,angry
md5_10,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_13919685.jpg,TRAIN,angry
md5_10,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\fear\Training_19944949.jpg,TRAIN,fear
md5_11,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_14530363.jpg,TRAIN,angry
md5_11,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_24299949.jpg,TRAIN,angry
md5_11,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_25953867.jpg,TRAIN,angry
md5_11,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_46867512.jpg,TRAIN,angry
md5_11,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_77361472.jpg,TRAIN,angry
md5_12,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_14849067.jpg,TRAIN,angry
md5_12,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_97239000.jpg,TRAIN,angry
md5_12,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\test\angry\PrivateTest_24606826.jpg,TEST,angry
md5_13,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_14909933.jpg,TRAIN,angry
md5_13,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_99966135.jpg,TRAIN,angry
md5_14,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_15784307.jpg,TRAIN,angry
md5_14,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_66072002.jpg,TRAIN,angry
md5_15,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_16057513.jpg,TRAIN,angry
md5_15,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_3125398.jpg,TRAIN,angry
md5_16,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_16124846.jpg,TRAIN,angry
md5_16,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_795269.jpg,TRAIN,angry
md5_17,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_16527960.jpg,TRAIN,angry
md5_17,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_18699711.jpg,TRAIN,angry
md5_17,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_31835561.jpg,TRAIN,angry
md5_17,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_44656949.jpg,TRAIN,angry
md5_17,md5,C:/Users/Yasindu/Desktop/Chat_Research/IT22638168/ml/fer/data/raw\train\angry\Training_80313354.jpg,TRAIN,angry
