model,true_class,predicted_class,count
finetuned,angry,angry,244
finetuned,angry,disgust,2
finetuned,angry,fear,71
finetuned,angry,happy,36
finetuned,angry,neutral,58
finetuned,angry,sad,64
finetuned,angry,surprise,16
finetuned,disgust,angry,15
finetuned,disgust,disgust,27
finetuned,disgust,fear,4
finetuned,disgust,happy,2
finetuned,disgust,neutral,1
finetuned,disgust,sad,5
finetuned,disgust,surprise,1
finetuned,fear,angry,49
finetuned,fear,disgust,1
finetuned,fear,fear,252
finetuned,fear,happy,22
finetuned,fear,neutral,67
finetuned,fear,sad,94
finetuned,fear,surprise,43
finetuned,happy,angry,23
finetuned,happy,disgust,0
finetuned,happy,fear,17
finetuned,happy,happy,772
finetuned,happy,neutral,32
finetuned,happy,sad,28
finetuned,happy,surprise,7
finetuned,neutral,angry,37
finetuned,neutral,disgust,3
finetuned,neutral,fear,54
finetuned,neutral,happy,50
finetuned,neutral,neutral,392
finetuned,neutral,sad,77
finetuned,neutral,surprise,13
finetuned,sad,angry,59
finetuned,sad,disgust,5
finetuned,sad,fear,92
finetuned,sad,happy,37
finetuned,sad,neutral,115
finetuned,sad,sad,279
finetuned,sad,surprise,7
finetuned,surprise,angry,14
finetuned,surprise,disgust,2
finetuned,surprise,fear,46
finetuned,surprise,happy,29
finetuned,surprise,neutral,21
finetuned,surprise,sad,13
finetuned,surprise,surprise,291
frozen,angry,angry,147
frozen,angry,disgust,2
frozen,angry,fear,59
frozen,angry,happy,66
frozen,angry,neutral,110
frozen,angry,sad,86
frozen,angry,surprise,21
frozen,disgust,angry,13
frozen,disgust,disgust,5
frozen,disgust,fear,5
frozen,disgust,happy,11
frozen,disgust,neutral,8
frozen,disgust,sad,12
frozen,disgust,surprise,1
frozen,fear,angry,46
frozen,fear,disgust,4
frozen,fear,fear,116
frozen,fear,happy,66
frozen,fear,neutral,97
frozen,fear,sad,128
frozen,fear,surprise,71
frozen,happy,angry,46
frozen,happy,disgust,2
frozen,happy,fear,29
frozen,happy,happy,582
frozen,happy,neutral,109
frozen,happy,sad,93
frozen,happy,surprise,18
frozen,neutral,angry,40
frozen,neutral,disgust,2
frozen,neutral,fear,29
frozen,neutral,happy,74
frozen,neutral,neutral,379
frozen,neutral,sad,86
frozen,neutral,surprise,16
frozen,sad,angry,52
frozen,sad,disgust,1
frozen,sad,fear,49
frozen,sad,happy,69
frozen,sad,neutral,156
frozen,sad,sad,254
frozen,sad,surprise,13
frozen,surprise,angry,20
frozen,surprise,disgust,1
frozen,surprise,fear,48
frozen,surprise,happy,28
frozen,surprise,neutral,54
frozen,surprise,sad,27
frozen,surprise,surprise,238
