model,class,label,precision,recall,f1,support,val_recall_baseline,val_f1_baseline,recall_delta_vs_val
finetuned,angry,0,0.5532879818594104,0.4969450101832994,0.5236051502145923,491,0.5139186295503212,0.5133689839572193,-0.016973619367021797
finetuned,disgust,1,0.675,0.4909090909090909,0.5684210526315789,55,0.5,0.5894736842105263,-0.009090909090909094
finetuned,fear,2,0.4701492537313433,0.4772727272727273,0.47368421052631576,528,0.4879032258064516,0.500517063081696,-0.01063049853372433
finetuned,happy,3,0.8143459915611815,0.8782707622298066,0.8451012588943624,879,0.8435754189944135,0.8206521739130435,0.03469534323539314
finetuned,neutral,4,0.5714285714285714,0.6261980830670927,0.5975609756097561,626,0.5914332784184514,0.5613760750586395,0.03476480464864129
finetuned,sad,5,0.4982142857142857,0.4696969696969697,0.48353552859618715,594,0.5053598774885145,0.5296950240770465,-0.035662907791544796
finetuned,surprise,6,0.7698412698412699,0.6995192307692307,0.7329974811083123,416,0.7566265060240964,0.7696078431372549,-0.0571072752548657
frozen,angry,0,0.40384615384615385,0.29938900203665986,0.34385964912280703,491,0.3340471092077088,0.3553530751708428,-0.034658107171048946
frozen,disgust,1,0.29411764705882354,0.09090909090909091,0.1388888888888889,55,0.21428571428571427,0.2962962962962963,-0.12337662337662336
frozen,fear,2,0.34626865671641793,0.2196969696969697,0.2688296639629201,528,0.22379032258064516,0.2764632627646326,-0.004093352883675461
frozen,happy,3,0.6495535714285714,0.6621160409556314,0.655774647887324,879,0.6167597765363129,0.6276293348493462,0.045356264419318504
frozen,neutral,4,0.41511500547645125,0.6054313099041534,0.49252761533463285,626,0.57166392092257,0.458994708994709,0.03376738898158338
frozen,sad,5,0.37026239067055394,0.4276094276094276,0.396875,594,0.4119448698315467,0.4014925373134328,0.015664557777880894
frozen,surprise,6,0.6296296296296297,0.5721153846153846,0.5994962216624685,416,0.6457831325301204,0.6658385093167701,-0.07366774791473585
