true_class,predicted_class,count,rate
angry,angry,244,0.4969450101832994
angry,disgust,2,0.004073319755600814
angry,fear,71,0.1446028513238289
angry,happy,36,0.07331975560081466
angry,neutral,58,0.11812627291242363
angry,sad,64,0.13034623217922606
angry,surprise,16,0.032586558044806514
disgust,angry,15,0.2727272727272727
disgust,disgust,27,0.4909090909090909
disgust,fear,4,0.07272727272727272
disgust,happy,2,0.03636363636363636
disgust,neutral,1,0.01818181818181818
disgust,sad,5,0.09090909090909091
disgust,surprise,1,0.01818181818181818
fear,angry,49,0.0928030303030303
fear,disgust,1,0.001893939393939394
fear,fear,252,0.4772727272727273
fear,happy,22,0.041666666666666664
fear,neutral,67,0.1268939393939394
fear,sad,94,0.17803030303030304
fear,surprise,43,0.08143939393939394
happy,angry,23,0.026166097838452786
happy,fear,17,0.019340159271899887
happy,happy,772,0.8782707622298066
happy,neutral,32,0.03640500568828214
happy,sad,28,0.03185437997724687
happy,surprise,7,0.007963594994311717
neutral,angry,37,0.05910543130990415
neutral,disgust,3,0.004792332268370607
neutral,fear,54,0.08626198083067092
neutral,happy,50,0.07987220447284345
neutral,neutral,392,0.6261980830670927
neutral,sad,77,0.12300319488817892
neutral,surprise,13,0.020766773162939296
sad,angry,59,0.09932659932659933
sad,disgust,5,0.008417508417508417
sad,fear,92,0.15488215488215487
sad,happy,37,0.06228956228956229
sad,neutral,115,0.1936026936026936
sad,sad,279,0.4696969696969697
sad,surprise,7,0.011784511784511785
surprise,angry,14,0.03365384615384615
surprise,disgust,2,0.004807692307692308
surprise,fear,46,0.11057692307692307
surprise,happy,29,0.06971153846153846
surprise,neutral,21,0.05048076923076923
surprise,sad,13,0.03125
surprise,surprise,291,0.6995192307692307
