file_path,split_group,class,prefix
../data/raw\train\angry\Training_10118481.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10120469.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10161559.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1021836.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10269675.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10278738.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10290703.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10295477.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10315441.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10316849.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10333072.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10334355.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10345473.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10422050.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10485618.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10503476.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10524198.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10539399.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10592361.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10595751.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10608067.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10740356.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10851653.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10857340.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10882484.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10899258.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10922970.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_10967257.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11023881.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11102431.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11175213.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11185740.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1119091.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11206889.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1120923.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11247006.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11262281.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11275727.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1127865.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11292723.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11306820.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11319077.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11330391.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_1133567.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11350676.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11359731.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11393282.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11478843.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11533347.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11566408.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11571868.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11576563.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11579481.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11596465.jpg,TRAIN,angry,Training_
../data/raw\train\angry\Training_11666027.jpg,TRAIN,angry,Training_
