record_id,mode_a_max_abs_diff,mode_a_mean_abs_diff,mode_b_max_abs_diff,mode_b_mean_abs_diff,ref_argmax,mode_a_argmax,mode_b_argmax,mode_a_argmax_agree,mode_b_argmax_agree
SI-AMBIG-010,5.960464477539063e-08,3.29067309836247e-08,4.163336342344337e-17,1.3877787807814457e-17,2,2,2,True,True
SI-ANXIETY-001,5.960464477539063e-08,2.4214386956193195e-08,4.85722573273506e-17,1.61907524424502e-17,2,2,2,True,True
SI-ANXIETY-004,5.9604644719879474e-08,2.4835268644847936e-08,5.551115123125783e-17,2.544261098099317e-17,2,2,2,True,True
SI-ANXIETY-006,5.960464477539063e-08,2.1730860062796342e-08,9.020562075079397e-17,4.85722573273506e-17,2,2,2,True,True
SI-APPT-009,2.9802322304428586e-08,1.490116116609208e-08,8.326672684688674e-17,2.7755575615628914e-17,2,2,2,True,True
SI-APPT-010,5.960464477539063e-08,4.4703483579230006e-08,2.7755575615628914e-17,1.61907524424502e-17,2,2,2,True,True
SI-DISCOMFORT-002,2.3841857904605135e-07,1.5397866564200355e-07,8.326672684688674e-17,6.47630097698008e-17,1,1,1,True,True
SI-DISCOMFORT-005,2.607703211005008e-08,8.692344055187077e-09,5.551115123125783e-17,2.544261098099317e-17,1,1,1,True,True
SI-FEAR-T01,2.384185791015625e-07,1.62671009671748e-07,8.326672684688674e-17,2.7755575615628914e-17,2,2,2,True,True
SI-FETAL-009,7.450580562229359e-09,2.48352687258017e-09,5.551115123125783e-17,3.0068540250264654e-17,2,2,2,True,True
SI-POSITIVE-002,1.192092896062924e-07,1.0430812839394103e-07,5.551115123125783e-17,3.700743415417188e-17,2,2,2,True,True
SI-POSITIVE-005,5.960464477539063e-08,3.104408580895113e-08,5.551115123125783e-17,2.544261098099317e-17,2,2,2,True,True
SI-POSITIVE-008,1.4901161138336505e-08,4.967053731282552e-09,5.551115123125783e-17,3.700743415417188e-17,2,2,2,True,True
SI-POSITIVE-T01,1.7881393427066072e-07,1.1672576267126218e-07,5.551115123125783e-17,2.312964634635743e-17,2,2,2,True,True
SI-POSITIVE-T02,1.1920928955078125e-07,9.934107464415476e-08,5.551115123125783e-17,1.850371707708594e-17,1,1,1,True,True
SI-REASSURE-006,5.960464477539063e-08,2.1109978371828635e-08,4.163336342344337e-17,1.3877787807814457e-17,2,2,2,True,True
SI-REASSURE-T04,1.7881393432617188e-07,1.0182460151904789e-07,8.326672684688674e-17,2.7755575615628914e-17,2,2,2,True,True
SI-ROUTINE-007,5.960464477539063e-08,2.731879557293926e-08,9.71445146547012e-17,5.088522196198634e-17,1,1,1,True,True
SI-ROUTINE-T04,5.587935367895591e-09,1.8626451226318637e-09,7.979727989493313e-17,2.6599093298311043e-17,2,2,2,True,True
SI-SADNESS-004,9.31322579819649e-09,3.1044086179025468e-09,5.551115123125783e-17,3.5850951836854015e-17,2,2,2,True,True
SI-SADNESS-007,8.940696716308594e-08,4.967053731282552e-08,5.551115123125783e-17,3.700743415417188e-17,0,0,0,True,True
SI-SADNESS-009,1.7881393432617188e-07,1.2169281639329288e-07,5.551115123125783e-17,2.312964634635743e-17,2,2,2,True,True
SI-SADNESS-010,5.215406410907786e-08,3.2285849202451367e-08,8.326672684688674e-17,5.088522196198634e-17,2,2,2,True,True
SI-SYMPTOM-002,2.384185791015625e-07,1.46528085026576e-07,8.326672684688674e-17,4.625929269271486e-17,1,1,1,True,True
SI-SYMPTOM-005,5.960464477539063e-08,3.10440858367067e-08,5.551115123125783e-17,2.0816681711721685e-17,2,2,2,True,True
SI-SYMPTOM-006,1.1920928955078125e-07,8.319814999666979e-08,5.551115123125783e-17,3.469446951953614e-17,1,1,1,True,True
SI_NEW_V21_0001,5.960464477539063e-08,3.9736429838695596e-08,8.326672684688674e-17,4.394632805807911e-17,1,1,1,True,True
SI_NEW_V21_0002,5.960464477539063e-08,3.725290302162657e-08,8.326672684688674e-17,3.700743415417188e-17,1,1,1,True,True
SI_NEW_V21_0003,3.7252902887474626e-08,1.7384688027107426e-08,9.71445146547012e-17,3.23815048849004e-17,1,1,1,True,True
SI_NEW_V21_0004,1.1920928955078125e-07,6.581346193486788e-08,1.3877787807814457e-17,4.625929269271485e-18,0,0,0,True,True
SI_NEW_V21_0007,7.450580555290465e-09,2.483526861015347e-09,4.163336342344337e-17,2.312964634635743e-17,1,1,1,True,True
SI_NEW_V21_0008,4.470348355378739e-08,1.490116121003841e-08,7.632783294297951e-17,3.469446951953614e-17,1,1,1,True,True
SI_NEW_V21_0010,4.470348363705412e-08,2.9802322387695312e-08,5.551115123125783e-17,3.700743415417188e-17,1,1,1,True,True
SI_NEW_V21_0012,5.960464477539063e-08,3.2285849234832874e-08,5.551115123125783e-17,1.850371707708594e-17,1,1,1,True,True
SI_NEW_V21_0015,9.71445146547012e-17,3.700743415417188e-17,9.71445146547012e-17,3.700743415417188e-17,1,1,1,True,True
SI_NEW_V21_0018,2.6077032172500125e-08,8.69234406212597e-09,8.326672684688674e-17,3.23815048849004e-17,1,1,1,True,True
SI_NEW_V21_0019,1.4901161138336505e-08,4.967053712778835e-09,5.551115123125783e-17,1.850371707708594e-17,1,1,1,True,True
SI_NEW_V21_0022,2.235174169362697e-08,7.4505805714812174e-09,9.71445146547012e-17,3.932039878880763e-17,0,0,0,True,True
SI_NEW_V21_0028,5.960464477539063e-08,1.986821494132096e-08,4.85722573273506e-17,1.61907524424502e-17,1,1,1,True,True
SI_NEW_V21_0034,5.960464477539063e-08,2.8560558945622816e-08,2.7755575615628914e-17,9.25185853854297e-18,1,1,1,True,True
SI_NEW_V21_0036,7.450580602474943e-08,5.2154064210848304e-08,5.551115123125783e-17,3.23815048849004e-17,1,1,1,True,True
SI_NEW_V21_0039,1.1920928955078125e-07,4.967053732670331e-08,4.163336342344337e-17,1.3877787807814457e-17,0,0,0,True,True
SI_NEW_V21_0041,2.2351741790771484e-08,7.450580606175686e-09,2.7755575615628914e-17,9.25185853854297e-18,1,1,1,True,True
